Gene ID,73_Cntrl_pre,73_Cntrl_post,55_Cntrl_pre,55_Cntrl_post,35_Cntrl_pre,35_Cntrl_post,27_Cntrl_pre,27_Cntrl_post,17_Cntrl_pre,17_Cntrl_post,10_Cntrl_pre,10_Cntrl_post,95_Training_pre,95_Training_post,93_Training_pre,93_Training_post,90_Training_pre,90_Training_post,89_Training_pre,89_Training_post,64_Training_pre,64_Training_post,51_Training_pre,51_Training_post,40_Training_pre,40_Training_post,32_Training_pre,32_Training_post,22_Training_pre,22_Training_post,2_Training_pre,2_Training_post,18_Training_pre,18_Training_post,87_Training&Suplement_pre,87_Training&Suplement_post,71_Training&Suplement_pre,71_Training&Suplement_post,62_Training&Suplement_pre,62_Training&Suplement_post,49_Training&Suplement_pre,49_Training&Suplement_post,4_Training&Suplement_pre,4_Training&Suplement_post
ENSG00000241130,8,22,6,11,14,3,5,22,13,22,32,24,12,3,11,19,10,21,23,18,25,19,56,25,8,18,5,17,10,17,7,14,9,23,13,22,10,8,16,5,35,14,16,7
ENSG00000246339,8,19,17,10,13,11,16,13,18,23,15,4,19,12,14,17,18,15,10,12,47,46,25,17,19,12,3,24,13,13,11,16,7,9,24,27,12,8,12,18,21,5,7,18
ENSG00000214290,15,5,5,13,18,12,11,10,24,27,17,9,10,33,9,12,5,10,18,15,25,21,23,20,26,16,26,23,21,13,11,20,24,23,5,20,13,15,10,7,15,15,11,18
ENSG00000229931,18,12,3,14,10,7,23,34,7,11,14,10,35,14,1,14,24,20,14,19,44,32,28,10,8,20,6,12,12,7,19,17,4,14,14,19,16,13,16,7,35,15,11,16
ENSG00000230074,16,16,12,14,5,13,17,25,16,8,8,2,13,27,13,9,23,12,15,12,44,21,50,13,4,17,12,21,16,45,16,21,12,21,3,7,10,13,7,11,13,5,23,18
ENSG00000266777,6,12,9,7,25,12,10,9,28,9,20,7,5,10,5,20,6,18,5,18,35,58,23,14,12,31,9,12,16,29,18,21,13,22,9,6,9,32,7,17,29,7,9,20
ENSG00000119636,15,16,24,11,16,15,10,10,23,25,14,5,19,14,12,11,16,20,17,7,28,28,17,15,17,19,11,13,17,22,7,24,13,19,18,20,12,9,14,14,13,14,4,32
ENSG00000158517,14,11,121,14,9,8,20,11,9,27,4,9,26,23,5,12,6,6,5,3,22,30,22,8,0,31,10,7,12,37,11,20,9,8,17,19,17,23,10,11,14,5,1,13
ENSG00000179715,9,12,52,9,12,11,25,20,8,17,17,4,20,69,11,8,9,6,5,16,20,20,12,24,8,47,12,15,8,25,9,6,13,16,15,10,9,24,12,7,8,7,14,19
ENSG00000197417,12,9,15,6,14,16,14,16,28,30,29,25,14,16,11,24,9,6,12,9,37,18,31,14,22,37,10,7,4,11,12,20,9,5,15,19,7,15,12,8,33,17,11,11
ENSG00000203288,22,13,12,16,13,12,15,14,15,15,27,8,27,9,6,11,33,13,6,24,32,16,42,12,16,6,8,14,15,26,12,11,7,10,12,8,7,8,25,26,19,4,16,37
ENSG00000228701,17,24,7,19,7,6,23,33,6,12,10,12,40,24,8,9,12,18,10,12,6,9,20,8,14,21,1,13,12,29,20,9,14,12,21,57,17,22,5,5,16,6,16,38
ENSG00000231793,18,14,13,8,10,14,14,10,23,15,27,11,10,28,15,13,9,23,19,15,33,18,40,12,18,30,8,14,18,8,20,16,9,14,18,12,8,18,8,9,28,6,13,13
ENSG00000261787,19,9,1,2,6,7,17,5,8,16,5,6,14,16,29,8,6,18,22,28,15,26,24,11,2,6,10,8,4,8,12,7,3,1,4,10,43,173,5,2,12,22,7,43
ENSG00000186654,2,9,29,12,8,21,24,11,20,27,13,15,16,59,10,14,16,14,11,16,29,11,20,18,8,26,9,8,16,67,5,3,11,20,4,9,14,31,9,9,7,4,12,4
ENSG00000260743,21,15,5,22,2,16,20,12,17,26,22,12,20,14,10,14,7,16,19,11,48,31,11,5,10,9,3,22,1,10,14,24,11,24,18,24,14,27,13,17,6,8,15,35
ENSG00000134901,6,20,13,14,9,18,10,19,11,12,4,6,30,24,12,17,24,10,9,22,50,37,22,19,8,15,4,22,14,28,11,7,7,14,15,24,10,13,20,18,12,6,13,23
ENSG00000168785,8,16,18,9,4,7,26,20,12,12,10,6,30,15,20,38,7,8,28,18,32,20,44,19,15,13,8,21,11,35,12,7,5,8,9,19,5,12,26,15,20,20,8,6
ENSG00000171084,15,11,4,4,6,10,15,10,11,12,8,7,24,19,10,4,10,4,13,21,64,56,39,16,20,9,6,6,19,20,11,13,11,11,28,28,8,9,38,38,5,14,8,7
ENSG00000028277,6,13,76,20,11,6,16,15,19,25,16,24,21,26,10,20,16,7,10,15,22,22,14,14,5,17,7,23,13,24,13,12,13,4,12,13,13,2,31,11,11,4,7,24
ENSG00000111879,10,15,12,7,9,12,20,13,11,23,22,17,21,18,6,17,12,17,20,21,29,10,16,24,17,50,15,17,11,22,7,11,12,10,7,18,7,9,26,9,25,6,17,25
ENSG00000145777,11,10,12,11,3,6,28,28,11,18,9,3,19,24,14,13,18,9,16,13,42,46,33,19,5,13,10,18,17,17,16,9,18,14,20,16,17,26,3,5,17,9,11,26
ENSG00000178343,16,26,3,11,10,16,4,15,9,26,41,22,6,9,4,16,14,18,11,19,41,62,9,18,1,16,1,11,2,55,4,9,13,3,9,15,7,10,29,12,7,8,37,28
ENSG00000231242,11,12,17,15,13,15,14,13,40,47,12,3,26,10,11,14,18,13,20,39,24,15,29,13,10,8,13,10,11,10,9,19,20,23,5,14,14,16,10,13,13,6,13,22
ENSG00000111728,13,11,17,10,5,16,17,8,9,10,14,11,39,17,8,16,12,11,10,15,44,16,25,18,11,9,7,29,14,29,12,13,8,9,21,36,13,43,14,15,19,10,6,14
ENSG00000134207,47,30,0,11,6,3,41,45,5,14,53,31,29,6,2,2,5,3,6,4,26,14,14,1,5,5,34,49,0,1,31,35,6,0,15,9,12,26,30,35,4,4,1,4
ENSG00000198513,8,13,18,16,12,16,16,6,8,22,14,11,27,19,12,27,15,25,10,25,28,55,22,14,9,22,9,16,12,44,10,4,10,17,6,9,7,18,8,11,7,4,9,33
ENSG00000074317,11,14,21,23,4,16,14,16,4,8,9,5,3,4,22,50,25,20,15,23,35,30,37,16,23,26,10,15,8,7,34,18,12,3,9,24,12,15,14,14,18,3,5,10
ENSG00000236871,12,15,11,17,8,14,21,23,18,29,25,25,16,15,33,8,16,21,22,13,38,28,14,11,12,20,10,11,26,17,10,19,13,10,17,14,13,9,12,6,3,9,11,10
ENSG00000204397,8,34,64,12,9,9,30,14,7,19,12,3,11,18,8,7,7,20,11,20,28,11,34,24,4,25,17,29,14,32,4,15,22,8,11,12,14,18,6,8,8,7,8,24
ENSG00000167554,14,21,11,18,3,11,9,17,14,23,26,12,30,6,18,7,18,26,17,21,36,23,16,15,4,16,2,14,11,48,19,11,7,11,16,32,15,12,13,14,12,7,17,14
ENSG00000170558,11,21,5,3,6,11,31,9,13,20,6,8,28,22,9,6,33,10,7,18,65,32,30,3,12,12,5,22,6,64,29,23,7,4,7,30,2,5,11,10,20,9,10,13
